Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Preço Tonelada (USD),Preço Tonelada (BRL),Preço Saca (BRL),Spread Diário,Volatilidade Relativa,Retorno Logarítmico,Ano,Mês
2024-10-01,410.75,423.5,434.25,399.0,5160000.0,-3.3,16171.227499999999,80856.1375,4850.3981703659265,35.25,0.08581862446743761,,2024,10
2024-09-01,424.75,378.0,427.75,376.5,2049999.9999999998,12.37,16722.407499999998,83612.03749999999,5015.7191061787635,51.25,0.12065921130076515,0.03351600363466392,2024,9
2024-08-01,378.0,382.5,393.0,360.5,3010000.0,-1.24,14881.859999999999,74409.29999999999,4463.665266946609,32.5,0.08597883597883597,-0.11660656493245375,2024,8
2024-07-01,382.75,397.25,412.0,381.0,1760000.0,-3.65,15068.867499999998,75344.3375,4519.756298740251,31.0,0.08099281515349445,0.01248783891820555,2024,7
2024-06-01,397.25,445.75,460.5,390.5,3980000.0,-10.98,15639.732499999998,78198.66249999999,4690.981553689261,70.0,0.1762114537444934,0.037183770879032255,2024,6
2024-05-01,446.25,440.0,473.25,437.25,2250000.0,1.54,17568.8625,87844.3125,5269.604829034192,36.0,0.08067226890756303,0.11631352767702353,2024,5
2024-04-01,439.5,441.75,444.5,424.5,3820000.0,-0.57,17303.114999999998,86515.57499999998,5189.896520695859,20.0,0.04550625711035267,-0.01524161596861709,2024,4
2024-03-01,442.0,415.5,448.0,409.25,1610000.0,6.31,17401.539999999997,87007.69999999998,5219.418116376723,38.75,0.08766968325791855,0.005672164952466374,2024,3
2024-02-01,415.75,448.0,448.75,394.5,3610000.0,-7.25,16368.0775,81840.3875,4909.441361727654,54.25,0.13048707155742634,-0.06122576400466108,2024,2
2024-01-01,448.25,470.5,470.75,436.5,3690000.0,-4.88,17647.602499999997,88238.01249999998,5293.222105578882,34.25,0.07640825432236475,0.0752669944122053,2024,1
2023-12-01,471.25,460.25,484.0,455.0,1130000.0,2.06,18553.1125,92765.5625,5564.82078584283,29.0,0.06153846153846154,0.05003762627697819,2023,12
2023-11-01,461.75,478.75,481.25,447.0,3800000.0,-3.55,18179.0975,90895.4875,5452.638722255549,34.25,0.07417433676231727,-0.02036511968287121,2023,11
2023-10-01,478.75,477.0,509.5,476.0,3350000.0,0.42,18848.387499999997,94241.93749999999,5653.385572885421,33.5,0.06997389033942558,0.0361549214155065,2023,10
2023-09-01,476.75,461.0,490.0,455.75,1440000.0,3.42,18769.6475,93848.23749999999,5629.768296340731,34.25,0.07184058730991086,-0.0041862960143272746,2023,9
2023-08-01,461.0,504.0,512.25,459.0,2200000.0,-8.53,18149.57,90747.85,5443.78224355129,53.25,0.11550976138828634,-0.033594201483879975,2023,8
2023-07-01,504.0,558.5,614.75,495.25,1290000.0,-9.11,19842.48,99212.4,5951.553689262147,119.5,0.2371031746031746,0.08917822507472001,2023,7
2023-06-01,554.5,594.0,672.5,552.0,3160000.0,-6.65,21830.664999999997,109153.32499999998,6547.889922015595,120.5,0.21731289449954913,0.09549053871905319,2023,6
2023-05-01,594.0,632.5,658.5,547.0,2049999.9999999998,-6.6,23385.78,116928.9,7014.331133773244,111.5,0.18771043771043772,0.06881251257222318,2023,5
2023-04-01,636.0,659.5,682.5,621.75,2390000.0,-3.71,25039.32,125196.6,7510.293941211758,60.75,0.09551886792452831,0.06831924397747723,2023,4
2023-03-01,660.5,630.0,664.5,618.25,2020000.0,4.92,26003.885,130019.42499999999,7799.605578884221,46.25,0.0700227100681302,0.03779856062225783,2023,3
2023-02-01,629.5,679.25,688.25,629.25,2790000.0,-7.39,24783.414999999997,123917.07499999998,7433.53779244151,59.0,0.0937251787132645,-0.04807127047797816,2023,2
2023-01-01,679.75,677.25,688.75,648.25,3080000.0,0.18,26761.7575,133808.7875,8026.921865626874,40.5,0.059580728208900334,0.07679923002817826,2023,1
2022-12-01,678.5,661.75,685.0,623.0,1090000.0,2.49,26712.545,133562.72499999998,8012.16106778644,62.0,0.09137803979366249,-0.0018406042376562588,2022,12
2022-11-01,662.0,689.0,698.5,651.25,3160000.0,-4.27,26062.94,130314.7,7817.318536292741,47.25,0.07137462235649547,-0.024618923337915582,2022,11
2022-10-01,691.5,680.0,706.5,671.5,2810000.0,2.07,27224.355,136121.775,8165.673365326933,35.0,0.05061460592913955,0.04359759516780463,2022,10
2022-09-01,677.5,671.0,725.0,655.0,1680000.0,0.56,26673.175,133365.875,8000.352429514096,70.0,0.1033210332103321,-0.020453598350956947,2022,9
2022-08-01,673.75,619.75,684.25,583.0,1960000.0,9.33,26525.5375,132627.6875,7956.0700359928005,101.25,0.150278293135436,-0.005550430530649092,2022,8
2022-07-01,616.25,748.0,800.0,561.5,969910.0,-17.14,24261.762499999997,121308.81249999999,7277.0733353329315,238.5,0.38701825557809333,-0.08920639686630709,2022,7
2022-06-01,743.75,753.75,800.0,720.5,3070000.0,-1.29,29281.437499999996,146407.18749999997,8782.674715056986,79.5,0.10689075630252101,0.18805223150293962,2022,6
2022-05-01,753.5,811.5,822.0,747.25,1310000.0,-7.91,29665.295,148326.47499999998,8897.808938212354,74.75,0.09920371599203716,0.013024061206710544,2022,5
2022-04-01,818.25,748.5,827.0,730.25,2400000.0,9.28,32214.5025,161072.51249999998,9662.418266346729,96.75,0.11824014665444546,0.08243889531473983,2022,4
2022-03-01,748.75,699.75,800.0,699.75,1430000.0,7.35,29478.2875,147391.4375,8841.717906418715,100.25,0.133889816360601,-0.0887627639516308,2022,3
2022-02-01,697.5,626.0,718.75,610.25,3560000.0,11.42,27460.574999999997,137302.875,8236.525194961006,108.5,0.15555555555555556,-0.07090263573413835,2022,2
2022-01-01,626.0,599.0,642.5,584.75,3460000.0,5.52,24645.62,123228.09999999999,7392.207558488301,57.75,0.09225239616613419,-0.10815214259542216,2022,1
2021-12-01,593.25,568.0,617.75,567.0,1450000.0,4.63,23356.2525,116781.2625,7005.474655068985,50.75,0.0855457227138643,-0.05373447578422561,2021,12
2021-11-01,567.0,568.0,589.0,547.75,3650000.0,-0.22,22322.789999999997,111613.94999999998,6695.497900419914,41.25,0.07275132275132275,-0.04525659158812083,2021,11
2021-10-01,568.25,536.75,569.25,506.75,2880000.0,5.87,22372.0025,111860.0125,6710.258698260347,62.5,0.10998680158380994,0.0022021590049005574,2021,10
2021-09-01,536.75,534.0,548.5,487.75,1540000.0,0.51,21131.8475,105659.2375,6338.286592681463,60.75,0.11318118304611086,-0.057029025973762144,2021,9
2021-08-01,534.0,547.25,589.5,524.0,2140000.0,-2.38,21023.579999999998,105117.9,6305.812837432512,65.5,0.12265917602996254,-0.005136597798695567,2021,8
2021-07-01,547.0,719.75,750.5,536.75,891070.0,-24.03,21535.39,107676.95,6459.325134973004,213.75,0.3907678244972578,0.024052963461786318,2021,7
2021-06-01,720.0,666.0,743.25,629.5,3530000.0,9.63,28346.399999999998,141732.0,8502.219556088781,113.75,0.1579861111111111,0.2748024095881198,2021,6
2021-05-01,656.75,740.0,775.0,602.75,1540000.0,-11.25,25856.247499999998,129281.23749999999,7755.323185362926,172.25,0.2622763608679102,-0.09194778344445172,2021,5
2021-04-01,740.0,575.0,746.25,549.75,3430000.0,31.15,29133.8,145669.0,8738.392321535692,196.5,0.26554054054054055,0.11934675763256623,2021,4
2021-03-01,564.25,560.5,571.25,532.75,1760000.0,1.58,22214.5225,111072.61249999999,6663.024145170964,38.5,0.06823216659282233,-0.2711527705005704,2021,3
2021-02-01,555.5,549.0,574.25,524.75,3560000.0,1.55,21870.035,109350.175,6559.698560287942,49.5,0.0891089108910891,-0.015628806617960376,2021,2
2021-01-01,547.0,487.25,553.75,479.5,4290000.0,13.02,21535.39,107676.95,6459.325134973004,74.25,0.13574040219378428,-0.015419806657703452,2021,1
2020-12-01,484.0,420.0,485.75,409.0,1650000.0,15.31,19055.079999999998,95275.4,5715.380923815236,76.75,0.15857438016528927,-0.1223638957053495,2020,12
2020-11-01,419.75,396.0,430.5,393.0,3530000.0,5.33,16525.5575,82627.78749999999,4956.675914817036,37.5,0.08933889219773675,-0.1424256107589815,2020,11
2020-10-01,398.5,379.0,422.25,377.25,4510000.0,5.15,15688.945,78444.725,4705.742351529694,45.0,0.11292346298619825,-0.051951797727380414,2020,10
2020-09-01,379.0,347.75,382.75,343.25,2130000.0,8.75,14921.23,74606.15,4475.473905218955,39.5,0.10422163588390501,-0.05017129314784339,2020,9
2020-08-01,348.5,315.0,353.0,307.25,2750000.0,10.28,13720.445,68602.225,4115.310437912417,45.75,0.13127690100430417,-0.08389797488184773,2020,8
2020-07-01,316.0,338.5,356.5,314.5,1450000.0,-6.65,12440.92,62204.6,3731.5296940611875,42.0,0.13291139240506328,-0.09789601661366647,2020,7
2020-06-01,338.5,325.5,342.0,313.5,4080000.0,3.91,13326.744999999999,66633.72499999999,3997.2240551889613,28.5,0.08419497784342689,0.06878187876541751,2020,6
2020-05-01,325.75,311.0,330.75,305.5,1370000.0,4.57,12824.777499999998,64123.88749999999,3846.6639172165555,25.25,0.07751343054489639,-0.03839387634737516,2020,5
2020-04-01,311.5,341.25,343.25,300.25,2910000.0,-8.58,12263.755,61318.774999999994,3678.3908218356323,43.0,0.13804173354735153,-0.0447308777774467,2020,4
2020-03-01,340.75,366.5,388.5,332.0,2000000.0,-7.03,13415.3275,67076.6375,4023.793491301739,56.5,0.16581071166544387,0.08974973234913418,2020,3
2020-02-01,366.5,380.5,385.0,361.75,3510000.0,-3.87,14429.105,72145.525,4327.865926814637,23.25,0.06343792633015007,0.07284945075006417,2020,2
2020-01-01,381.25,387.75,394.0,375.25,3600000.0,-1.68,15009.812499999998,75049.06249999999,4502.043341331732,18.75,0.04918032786885246,0.039456806594915274,2020,1
2019-12-01,387.75,371.75,392.0,357.0,1110000.0,4.44,15265.717499999999,76328.5875,4578.799490101978,35.0,0.09026434558349453,0.01690547413502692,2019,12
2019-11-01,371.25,389.25,391.75,362.25,3790000.0,-4.81,14616.1125,73080.5625,4383.956958608278,29.5,0.07946127946127945,-0.04348511193973878,2019,11
2019-10-01,390.0,386.75,402.5,378.25,3650000.0,0.52,15354.3,76771.5,4605.368926214756,24.25,0.06217948717948718,0.049271049006782835,2019,10
2019-09-01,388.0,358.75,388.25,340.0,1650000.0,8.38,15275.56,76377.8,4581.7516496700655,48.25,0.12435567010309279,-0.005141399500418652,2019,9
2019-08-01,358.0,401.75,417.0,355.25,3080000.0,-10.56,14094.46,70472.29999999999,4227.492501499699,61.75,0.17248603351955308,-0.08047235322257308,2019,8
2019-07-01,400.25,424.25,460.0,400.0,1690000.0,-4.76,15757.842499999999,78789.2125,4726.407468506298,60.0,0.14990630855715179,0.1115563654761237,2019,7
2019-06-01,420.25,426.25,464.25,407.0,4830000.0,-1.58,16545.2425,82726.2125,4962.580233953208,57.25,0.13622843545508626,0.048760420411900825,2019,6
2019-05-01,427.0,353.5,438.0,335.5,4190000.0000000005,20.88,16810.989999999998,84054.94999999998,5042.288542291541,102.5,0.24004683840749413,0.01593424093989952,2019,5
2019-04-01,353.25,356.5,366.25,342.25,3980000.0,-0.91,13907.4525,69537.2625,4171.401469706058,24.0,0.06794055201698514,-0.18960799166398776,2019,4
2019-03-01,356.5,361.75,380.75,352.75,2100000.0,-1.52,14035.404999999999,70177.025,4209.779544091181,28.0,0.0785413744740533,0.009158218289713877,2019,3
2019-02-01,362.0,376.5,381.75,361.25,4410000.0,-3.85,14251.939999999999,71259.7,4274.7270545890815,20.5,0.05662983425414365,0.01530997197142051,2019,2
2019-01-01,376.5,375.25,384.5,371.0,3420000.0,0.4,14822.804999999998,74114.025,4445.952309538092,13.5,0.035856573705179286,0.039273835414177304,2019,1
2018-12-01,375.0,372.75,386.5,369.25,1130000.0,2.32,14763.749999999998,73818.74999999999,4428.239352129573,17.25,0.046,-0.00399202126953745,2018,12
2018-11-01,366.5,363.25,379.0,355.25,4350000.0,0.89,14429.105,72145.525,4327.865926814637,23.75,0.06480218281036836,-0.022927504643704577,2018,11
2018-10-01,363.25,356.75,378.5,356.5,3820000.0,1.96,14301.152499999998,71505.7625,4289.487852429514,22.0,0.060564349621472814,-0.008907218876313914,2018,10
2018-09-01,356.25,351.5,366.75,337.0,1760000.0,1.5,14025.562499999998,70127.81249999999,4206.827384523094,29.75,0.08350877192982456,-0.019458570867532044,2018,9
2018-08-01,351.0,372.0,373.75,340.25,2700000.0,-5.71,13818.869999999999,69094.34999999999,4144.83203359328,33.5,0.09544159544159544,-0.014846508116994473,2018,8
2018-07-01,372.25,352.25,374.25,329.75,1310000.0,6.28,14655.482499999998,73277.41249999999,4395.765596880623,44.5,0.11954331766286098,0.05877944809825263,2018,7
2018-06-01,350.25,393.75,397.0,338.75,4620000.0,-11.1,13789.342499999999,68946.7125,4135.975554889022,58.25,0.16630977872947894,-0.060918486347002025,2018,6
2018-05-01,394.0,393.0,412.25,387.5,2320000.0,0.38,15511.779999999999,77558.9,4652.603479304138,24.75,0.06281725888324872,0.11770372408081742,2018,5
2018-04-01,392.5,389.25,395.75,372.0,4000000.0,1.23,15452.724999999999,77263.625,4634.890521895621,23.75,0.06050955414012739,-0.0038143720754706774,2018,4
2018-03-01,387.75,374.0,390.75,369.25,2280000.0,3.54,15265.717499999999,76328.5875,4578.799490101978,21.5,0.05544809800128949,-0.012175735165814916,2018,3
2018-02-01,374.5,360.75,376.75,356.25,4710000.0,3.6,14744.064999999999,73720.325,4422.335032993401,20.5,0.05473965287049399,-0.03476899909937398,2018,2
2018-01-01,361.5,351.25,362.25,345.5,3960000.0,3.06,14232.255,71161.275,4268.822735452909,16.75,0.04633471645919779,-0.03532976135845476,2018,1
2017-12-01,350.75,341.75,354.25,335.25,1000000.0,2.63,13809.027499999998,69045.1375,4141.879874025194,19.0,0.0541696364932288,-0.030188322616249062,2017,12
2017-11-01,341.75,345.75,352.0,335.5,5010000.0,-1.16,13454.697499999998,67273.48749999999,4035.602129574084,16.5,0.048280907095830286,-0.025994243378511424,2017,11
2017-10-01,345.75,354.75,356.25,342.5,3700000.0,-2.67,13612.1775,68060.8875,4082.8366826634665,13.75,0.03976861894432393,0.01163649494080864,2017,10
2017-09-01,355.25,341.5,358.0,336.0,1600000.0,3.8,13986.1925,69930.9625,4195.018746250749,22.0,0.06192821956368754,0.02710579643234246,2017,9
2017-08-01,342.25,369.25,375.5,328.5,2970000.0,-7.69,13474.3825,67371.9125,4041.5064487102577,47.0,0.13732651570489407,-0.03728030280865174,2017,8
2017-07-01,370.75,373.25,394.5,360.0,1310000.0,0.07,14596.4275,72982.1375,4378.052639472105,34.5,0.0930546190155091,0.07998651684948319,2017,7
2017-06-01,370.5,371.5,391.75,356.25,5110000.0,-0.4,14586.585,72932.92499999999,4375.100479904018,35.5,0.09581646423751687,-0.0006745362818999494,2017,6
2017-05-01,372.0,363.0,377.5,356.25,1970000.0,3.91,14645.64,73228.2,4392.813437312537,21.25,0.05712365591397849,0.004040409537004906,2017,5
2017-04-01,358.0,365.75,373.0,354.25,3500000.0,-1.72,14094.46,70472.29999999999,4227.492501499699,18.75,0.052374301675977654,-0.03836086787244621,2017,4
2017-03-01,364.25,366.25,377.0,353.0,1860000.0,-0.68,14340.5225,71702.61249999999,4301.296490701859,24.0,0.06588881262868909,0.017307458674613842,2017,3
2017-02-01,366.75,360.0,380.0,358.0,3710000.0,1.95,14438.947499999998,72194.73749999999,4330.818086382722,22.0,0.05998636673483299,0.006839971947776944,2017,2
2017-01-01,359.75,352.0,371.0,351.5,3620000.0,2.2,14163.357499999998,70816.78749999999,4248.1576184763035,19.5,0.054204308547602505,-0.019271071255613927,2017,1
2016-12-01,352.0,337.0,363.0,331.0,1220000.0,4.53,13858.24,69291.2,4156.640671865626,32.0,0.09090909090909091,-0.021778170169380145,2016,12
2016-11-01,336.75,354.75,356.5,335.5,4099999.9999999995,-5.07,13257.8475,66289.2375,3976.558938212357,21.0,0.062360801781737196,-0.04429036030762373,2016,11
2016-10-01,354.75,336.25,359.25,335.25,3550000.0,5.35,13966.5075,69832.5375,4189.114427114577,24.0,0.06765327695560254,0.05207250074967862,2016,10
2016-09-01,336.75,302.0,342.25,301.75,1760000.0,11.69,13257.8475,66289.2375,3976.558938212357,40.5,0.12026726057906459,-0.052072500749678695,2016,9
2016-08-01,301.5,332.5,334.75,301.0,2340000.0,-9.87,11870.054999999998,59350.274999999994,3560.3044391121766,33.75,0.11194029850746269,-0.11057079912323327,2016,8
2016-07-01,334.5,360.75,374.5,326.75,1070000.0,-6.76,13169.265,65846.325,3949.9895020995796,47.75,0.14275037369207771,0.10386686340104295,2016,7
2016-06-01,358.75,404.25,439.25,355.75,4550000.0,-11.37,14123.9875,70619.9375,4236.3489802039585,83.5,0.23275261324041813,0.06998888750554774,2016,6
2016-05-01,404.75,388.75,413.5,367.0,2069999.9999999998,3.72,15935.0075,79675.0375,4779.546340731854,46.5,0.11488573193329216,0.12064382548391357,2016,5
2016-04-01,390.25,351.75,402.0,347.25,4430000.0,11.02,15364.142499999998,76820.7125,4608.321085782843,54.75,0.14029468289557975,-0.03648203316220305,2016,4
2016-03-01,351.5,353.5,374.0,347.5,2110000.0,-0.57,13838.554999999998,69192.775,4150.736352729454,26.5,0.07539118065433854,-0.10457784814482184,2016,3
2016-02-01,353.5,371.0,373.75,352.5,3580000.0,-4.97,13917.294999999998,69586.47499999999,4174.353629274145,21.25,0.060113154172560114,0.005673774085907875,2016,2
2016-01-01,372.0,359.5,373.0,348.5,3570000.0,3.69,14645.64,73228.2,4392.813437312537,24.5,0.06586021505376344,0.051010368936519036,2016,1
2015-12-01,358.75,365.25,381.75,357.0,1570000.0,-1.71,14123.9875,70619.9375,4236.3489802039585,24.75,0.06898954703832752,-0.036268087199315714,2015,12
2015-11-01,365.0,381.25,383.5,356.0,4090000.0,-4.51,14370.05,71850.25,4310.152969406118,27.5,0.07534246575342465,0.017271586508660716,2015,11
2015-10-01,382.25,387.75,399.75,372.0,3500000.0,-1.42,15049.182499999999,75245.91249999999,4513.851979604078,27.75,0.07259646827992151,0.04617749122668013,2015,10
2015-09-01,387.75,362.5,395.0,346.75,1710000.0,6.6,15265.717499999999,76328.5875,4578.799490101978,48.25,0.12443584784010316,0.014285957247476434,2015,9
2015-08-01,363.75,370.0,391.5,346.5,2470000.0,-1.95,14320.8375,71604.1875,4295.392171565686,45.0,0.12371134020618557,-0.06389398357094599,2015,8
2015-07-01,371.0,411.0,438.75,365.75,1570000.0,-10.39,14606.269999999999,73031.34999999999,4381.004799040191,73.0,0.1967654986522911,0.0197352441217328,2015,7
2015-06-01,414.0,350.5,415.0,346.75,4330000.0,17.78,16299.179999999998,81495.9,4888.776244751049,68.25,0.16485507246376813,0.10966391121787916,2015,6
2015-05-01,351.5,362.5,371.5,348.25,1660000.0,-3.03,13838.554999999998,69192.775,4150.736352729454,23.25,0.06614509246088193,-0.16365626257459479,2015,5
2015-04-01,362.5,377.0,390.0,359.0,3190000.0,-3.65,14271.624999999998,71358.12499999999,4280.631373725254,31.0,0.08551724137931034,0.03081476304400989,2015,4
2015-03-01,376.25,383.0,398.5,367.0,2160000.0,-2.15,14812.9625,74064.8125,4443.000149970006,31.5,0.08372093023255814,0.03722934176835598,2015,3
2015-02-01,384.5,369.75,391.75,367.5,3080000.0,3.92,15137.765,75688.825,4540.421415716856,24.25,0.06306892067620286,0.021689972882613255,2015,2
2015-01-01,370.0,396.25,409.5,365.75,3190000.0,-6.8,14566.9,72834.5,4369.196160767846,43.75,0.11824324324324324,-0.03844078330742856,2015,1
2014-12-01,397.0,374.0,417.0,364.25,1380000.0,5.66,15629.89,78149.45,4688.029394121175,52.75,0.13287153652392947,0.0704332750489202,2014,12
2014-11-01,375.75,374.5,389.0,359.0,3710000.0,-0.27,14793.277499999998,73966.3875,4437.095830833832,30.0,0.07984031936127745,-0.055012252054106495,2014,11
2014-10-01,376.75,320.25,381.0,318.25,3800000.0,17.46,14832.6475,74163.23749999999,4448.904469106177,62.75,0.16655607166556072,0.0026578088735210396,2014,10
2014-09-01,320.75,357.5,360.75,319.5,1440000.0,-10.65,12627.9275,63139.6375,3787.6207258548284,41.25,0.12860483242400625,-0.16091983401085905,2014,9
2014-08-01,359.0,357.0,370.0,347.75,1960000.0,0.56,14133.83,70669.15,4239.301139772045,22.25,0.06197771587743733,0.11266038499253311,2014,8
2014-07-01,357.0,423.75,423.75,356.5,1030000.0,-15.85,14055.089999999998,70275.45,4215.683863227354,67.25,0.18837535014005602,-0.005586606708639823,2014,7
2014-06-01,424.25,465.0,470.5,422.5,2610000.0,-8.91,16702.7225,83513.6125,5009.814787042591,48.0,0.11314083677077195,0.1725871223346966,2014,6
2014-05-01,465.75,513.25,519.5,465.0,1270000.0,-9.39,18336.5775,91682.8875,5499.87327534493,54.5,0.11701556629092862,0.09332610536736212,2014,5
2014-04-01,514.0,501.5,519.0,485.5,2650000.0,2.39,20236.18,101180.9,6069.640071985602,33.5,0.0651750972762646,0.09857425597346728,2014,4
2014-03-01,502.0,459.0,503.75,457.25,1340000.0,9.73,19763.739999999998,98818.69999999998,5927.936412717455,46.5,0.09262948207171315,-0.02362314576343594,2014,3
2014-02-01,457.5,433.5,459.0,433.25,3190000.0,5.41,18011.774999999998,90058.87499999999,5402.452009598079,25.75,0.05628415300546448,-0.09282323497615323,2014,2
2014-01-01,434.0,422.0,435.5,406.25,3250000.0,2.84,17086.579999999998,85432.9,5124.94901019796,29.25,0.0673963133640553,-0.052732350615171134,2014,1
2013-12-01,422.0,414.75,436.0,410.0,879440.0,1.63,16614.14,83070.7,4983.245350929813,26.0,0.061611374407582936,-0.028039220064393047,2013,12
2013-11-01,415.25,427.75,438.0,410.75,3720000.0,-3.04,16348.392499999998,81741.9625,4903.537042591481,27.25,0.06562311860325105,-0.016124565542607536,2013,11
2013-10-01,428.25,441.25,449.75,427.0,2950000.0,-3.0,16860.2025,84301.0125,5057.049340131973,22.75,0.05312317571511967,0.030826388710825093,2013,10
2013-09-01,441.5,501.25,504.5,440.75,1320000.0,-10.81,17381.855,86909.275,5213.513797240551,63.75,0.14439411098527746,0.03047088283978538,2013,9
2013-08-01,495.0,499.0,522.75,453.75,1620000.0,-0.8,19488.149999999998,97440.74999999999,5845.275944811036,69.0,0.1393939393939394,0.11437974252467564,2013,8
2013-07-01,499.0,678.5,800.0,488.25,988750.0,-26.54,19645.629999999997,98228.15,5892.510497900419,311.75,0.624749498997996,0.008048333182828415,2013,7
2013-06-01,679.25,661.25,685.5,640.5,2049999.9999999998,2.61,26742.0725,133710.3625,8021.017546490701,45.0,0.06624953993375046,0.3083831525549385,2013,6
2013-05-01,662.0,679.5,722.5,632.5,1220000.0,-3.11,26062.94,130314.7,7817.318536292741,90.0,0.13595166163141995,-0.025723692369448898,2013,5
2013-04-01,683.25,679.0,693.0,626.5,2670000.0,-1.73,26899.552499999998,134497.76249999998,8068.252099580082,66.5,0.09732894255397,0.03159526887116921,2013,4
2013-03-01,695.25,719.5,749.0,695.25,1220000.0,-3.37,27371.992499999997,136859.9625,8209.95575884823,53.75,0.07731032002876663,0.017410668305896795,2013,3
2013-02-01,719.5,740.25,746.25,687.25,2700000.0,-2.84,28326.714999999997,141633.57499999998,8496.315236952607,59.0,0.08200138985406533,0.03428503321334818,2013,2
2013-01-01,740.5,706.25,744.5,678.0,2880000.0,6.05,29153.484999999997,145767.425,8744.296640671864,66.5,0.08980418636056718,0.028769107380430963,2013,1
2012-12-01,698.25,752.0,759.0,687.5,874510.0,-6.65,27490.102499999997,137450.51249999998,8245.381673665264,71.5,0.10239885427855352,-0.05874842888256732,2012,12
2012-11-01,748.0,755.5,763.25,710.5,3130000.0,-1.03,29448.76,147243.8,8832.861427714455,52.75,0.07052139037433156,0.06882577314919117,2012,11
2012-10-01,755.75,760.25,776.0,732.25,3000000.0,-0.07,29753.8775,148769.38749999998,8924.378374325133,43.75,0.057889513728084686,0.010307655685090095,2012,10
2012-09-01,756.25,805.0,818.25,705.0,1560000.0,-5.79,29773.562499999996,148867.81249999997,8930.282693461306,113.25,0.1497520661157025,0.0006613756854838194,2012,9
2012-08-01,802.75,806.5,843.75,776.75,1600000.0,-0.46,31604.267499999998,158021.3375,9479.384373125373,67.0,0.0834630956088446,0.05967132362457214,2012,8
2012-07-01,806.5,682.0,828.75,679.75,1030000.0,19.93,31751.905,158759.525,9523.66676664667,149.0,0.18474891506509608,0.004660564595640274,2012,7
2012-06-01,672.5,557.75,676.25,551.0,2760000.0,21.12,26476.324999999997,132381.625,7941.309238152368,125.25,0.1862453531598513,-0.18170178608926935,2012,6
2012-05-01,555.25,659.25,685.75,553.5,1900000.0,-15.9,21860.192499999997,109300.9625,6556.746400719855,132.25,0.23818099954975236,-0.19158364870145733,2012,5
2012-04-01,660.25,649.5,666.0,599.5,2760000.0,2.52,25994.0425,129970.2125,7796.653419316136,66.5,0.10071942446043165,0.17320008840270484,2012,4
2012-03-01,644.0,655.75,678.5,603.0,2000000.0,-1.9,25354.28,126771.4,7604.763047390521,75.5,0.1172360248447205,-0.024919825072887928,2012,3
2012-02-01,656.5,639.0,659.0,621.75,3240000.0,2.74,25846.405,129232.025,7752.37102579484,37.25,0.056740289413556744,0.019223967638497177,2012,2
2012-01-01,639.0,662.0,664.25,592.5,3420000.0,-1.16,25157.429999999997,125787.14999999998,7545.7198560287925,71.75,0.1122848200312989,-0.027018239365316124,2012,1
