Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2012","2012","1000 Int$","14266580","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2013","2013","1000 Int$","16113387","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2014","2014","1000 Int$","16034788","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2015","2015","1000 Int$","17119034","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2016","2016","1000 Int$","12884642","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2017","2017","1000 Int$","19653793","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2018","2018","1000 Int$","16533590","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2019","2019","1000 Int$","20299296","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2020","2020","1000 Int$","20874298","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2021","2021","1000 Int$","17719030","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2022","2022","1000 Int$","21964229","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2012","2012","1000 SLC","31449718","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2013","2013","1000 SLC","34985457","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2014","2014","1000 SLC","34948206","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2015","2015","1000 SLC","39230214","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2016","2016","1000 SLC","41131872","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2018","2018","1000 SLC","37678190","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2019","2019","1000 SLC","47591383","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2020","2020","1000 SLC","72423545","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2021","2021","1000 SLC","116141528","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2022","2022","1000 SLC","137743946","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2012","2012","1000 SLC","36443768","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2013","2013","1000 SLC","41161407","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2014","2014","1000 SLC","40960629","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2015","2015","1000 SLC","43730318","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2016","2016","1000 SLC","32913628","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2017","2017","1000 SLC","50205322","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2018","2018","1000 SLC","42234812","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2019","2019","1000 SLC","51854252","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2020","2020","1000 SLC","53323085","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2021","2021","1000 SLC","45262999","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2022","2022","1000 SLC","56107296","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2012","2012","1000 USD","16102721","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2013","2013","1000 USD","16226350","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2014","2014","1000 USD","14852920","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2015","2015","1000 USD","11791807","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2016","2016","1000 USD","11781203","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2018","2018","1000 USD","10311984","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2019","2019","1000 USD","12065340","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2020","2020","1000 USD","14048697","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","21530015","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2022","2022","1000 USD","26674039","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2012","2012","1000 USD","12028944","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2013","2013","1000 USD","13586089","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2014","2014","1000 USD","13519818","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2015","2015","1000 USD","14434006","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2016","2016","1000 USD","10863756","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2017","2017","1000 USD","16571201","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2018","2018","1000 USD","13940386","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2019","2019","1000 USD","17115461","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2020","2020","1000 USD","17600277","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","14939896","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2022","2022","1000 USD","18519258","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2012","2012","1000 Int$","25184836","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2013","2013","1000 Int$","31256693","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2014","2014","1000 Int$","33182800","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2015","2015","1000 Int$","37276856","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2016","2016","1000 Int$","36867575","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2017","2017","1000 Int$","43880930","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2018","2018","1000 Int$","45097300","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2019","2019","1000 Int$","43722103","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2020","2020","1000 Int$","46592161","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2021","2021","1000 Int$","51555871","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0141","Soya beans","2022","2022","1000 Int$","46163833","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2012","2012","1000 SLC","65300336","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2013","2013","1000 SLC","81996620","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2014","2014","1000 SLC","87483235","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2015","2015","1000 SLC","102825507","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2016","2016","1000 SLC","115673784","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2018","2018","1000 SLC","127895812","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2019","2019","1000 SLC","125270163","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2020","2020","1000 SLC","169132781","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2021","2021","1000 SLC","340835793","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0141","Soya beans","2022","2022","1000 SLC","345422469","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2012","2012","1000 SLC","71628850","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2013","2013","1000 SLC","88897979","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2014","2014","1000 SLC","94376069","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2015","2015","1000 SLC","106020083","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2016","2016","1000 SLC","104856036","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2017","2017","1000 SLC","124802902","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2018","2018","1000 SLC","128262412","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2019","2019","1000 SLC","124351179","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2020","2020","1000 SLC","132513986","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2021","2021","1000 SLC","146631402","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0141","Soya beans","2022","2022","1000 SLC","131295765","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2012","2012","1000 USD","33434737","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2013","2013","1000 USD","38030255","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2014","2014","1000 USD","37180204","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2015","2015","1000 USD","30907263","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2016","2016","1000 USD","33131882","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2018","2018","1000 USD","35003264","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2019","2019","1000 USD","31758418","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2020","2020","1000 USD","32808325","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2021","2021","1000 USD","63183254","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","57","Gross Production Value (current thousand US$)","0141","Soya beans","2022","2022","1000 USD","66890871","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2012","2012","1000 USD","23911039","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2013","2013","1000 USD","29675794","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2014","2014","1000 USD","31504482","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2015","2015","1000 USD","35391470","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2016","2016","1000 USD","35002890","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2017","2017","1000 USD","41661524","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2018","2018","1000 USD","42816372","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2019","2019","1000 USD","41510730","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2020","2020","1000 USD","44235626","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2021","2021","1000 USD","48948282","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2022","2022","1000 USD","43828962","E","Estimated value"
